"","State","County","Flyway","Flock.Type","Species","Avian.Infuenza.Subtype","Confirmation.Date","Flock.Size","STATEFP","COUNTYFP","POPULATION","LATITUDE","LONGITUDE"
"193","Iowa","Adair","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-05-27,"974,500",19,1,7682,41.344629,-94.479157
"194","Iowa","Wright","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-05-28,"991,500",19,197,13229,42.732195,-93.755488
"195","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-28,"48,900",27,129,15730,44.721974,-94.937875
"196","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-28,"50,800",27,67,42239,45.15505,-95.016796
"197","Minnesota","Renville","Mississippi","Commercial","Turkey","EA/AM-H5N2",2015-05-29,"29,300",27,129,15730,44.721974,-94.937875
"198","Minnesota","Meeker","Mississippi","Commercial","Turkey","EA/AM-H5N2",2015-05-29,"4,900",27,93,23300,45.136368,-94.482983
"199","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-05-29,"17,000",19,79,15673,42.407552,-93.766985
"200","Minnesota","Brown","Mississippi","Commercial","Turkey","EA/AM-H5N2",2015-05-29,"7,300",27,15,25893,44.284244,-94.599226
"201","Iowa","Wright","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-06-01,"434,800",19,197,13229,42.732195,-93.755488
"202","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-01,"47,800",27,129,15730,44.721974,-94.937875
"203","South Dakota","Moody","Central","Commercial","Turkeys","EA/AM-H5N2",2015-06-01,"52,000",46,101,6486,44.019542,-96.65761
"204","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-01,"18,300",27,15,25893,44.284244,-94.599226
"205","Iowa","Calhoun","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-02,"13,400",19,25,9670,42.400162,-94.625331
"206","Minnesota","Blue Earth","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-02,"19,400",27,13,64013,44.129816,-93.998839
"207","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-03,"37,000",27,67,42239,45.15505,-95.016796
"208","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-03,"26,200",19,79,15673,42.407552,-93.766985
"209","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-03,"17,200",19,79,15673,42.407552,-93.766985
"210","Iowa","Clay","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-06-03,"1,115,700",19,41,16667,43.127315,-95.159571
"211","Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-03,"15,900",27,15,25893,44.284244,-94.599226
"212","Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-04,"42,200",19,161,10350,42.375805,-95.088801
"213","Minnesota","Renville","Mississippi","Commercial","Chickens","EA/AM-H5N2",2015-06-04,"415,000",27,129,15730,44.721974,-94.937875
"214","Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-04,"24,800",27,129,15730,44.721974,-94.937875
"215","Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2",2015-06-04,"19,600",19,79,15673,42.407552,-93.766985
